0,0,0,0,0,0,0,0,0,0
0,0,0,72,72,0,72,0,72,72
23,23,23,23,23,23,23,23,23,23
120,120,120,120,120,120,120,120,120,120
24,24,24,24,24,24,24,24,24,24
31,31,31,31,31,31,0,31,144,144
120,120,120,120,120,120,120,120,120,120
0,0,0,0,0,0,0,42,42,42
38,46,46,46,0,46,46,46,46,46
2,2,2,2,2,2,35,2,2,2
93,41,41,93,41,41,70,0,41,93
106,106,106,106,106,106,106,106,0,106
98,98,98,98,98,98,48,48,98,77
103,8,8,8,8,103,103,103,42,103
107,107,107,107,107,107,107,83,107,107
21,20,20,20,20,20,20,20,20,21
119,119,119,119,119,119,119,119,119,119
152,42,42,152,42,42,42,42,42,42
122,122,122,122,122,122,122,122,122,122
21,0,0,0,0,0,0,0,0,21
0,20,20,20,20,20,20,20,20,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,120,0,0,0
0,0,0,0,0,0,0,0,0,0
44,44,44,44,44,44,44,103,48,143
27,27,27,27,27,27,27,27,27,27
148,148,148,0,0,0,0,0,0,0
23,23,23,23,23,23,120,23,23,23
23,23,23,23,23,23,120,23,23,23
98,31,31,31,98,31,6,31,98,31
20,20,20,20,20,20,20,20,20,20
100,100,100,100,100,100,100,100,100,100
2,2,2,125,2,2,125,2,125,125
20,20,20,20,20,20,20,20,20,20
0,0,0,0,0,0,0,0,0,0
43,43,43,43,43,43,43,43,17,43
98,98,98,98,98,98,134,134,98,134
119,119,119,119,119,46,119,46,119,46
137,137,137,137,137,0,137,137,137,0
152,0,0,0,0,152,152,152,152,152
11,0,0,11,0,0,70,11,0,0
8,8,8,8,8,48,48,48,48,48
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,143
87,110,87,54,110,110,110,110,110,87
117,117,0,0,117,0,0,0,0,117
106,106,106,106,106,106,106,106,12,106
105,105,105,77,0,0,105,0,0,77
44,44,44,44,44,39,39,39,39,39
69,69,125,125,33,33,125,125,125,125
54,54,54,54,54,54,54,56,56,56
0,32,32,32,32,32,32,32,32,150
0,117,0,117,117,117,117,117,117,117
110,110,110,0,110,110,110,110,56,56
1,1,1,1,1,1,1,1,1,1
54,54,54,54,54,54,54,0,0,0
98,98,98,98,98,98,80,98,98,0
134,134,134,134,134,134,134,134,134,134
140,0,0,0,0,97,123,97,0,0
2,2,2,2,2,2,2,2,2,50
91,91,91,91,91,91,91,91,91,91
152,40,40,40,40,152,152,152,152,152
107,32,107,107,32,12,12,12,12,12
0,6,6,0,94,6,6,6,6,6
106,106,106,106,106,106,106,106,12,106
106,106,106,106,106,106,106,106,106,106
81,81,81,81,81,81,81,81,81,81
7,7,0,7,7,7,7,7,7,0
91,91,91,91,91,91,91,91,91,91
94,41,41,11,94,41,0,11,41,94
134,134,134,134,134,134,134,134,134,134
2,2,2,0,0,2,0,2,0,0
116,116,116,116,116,116,117,117,117,117
68,68,68,68,68,68,68,68,68,68
145,145,145,145,145,145,145,145,145,145
82,82,82,125,82,82,125,125,125,125
99,34,138,138,48,48,105,48,48,99
100,100,100,100,100,100,100,100,100,100
101,101,101,81,81,81,81,81,81,81
98,98,98,98,98,98,0,98,98,57
122,122,122,122,122,122,122,122,122,122
24,24,24,24,24,24,24,24,24,24
8,8,8,8,8,8,8,0,90,8
27,27,27,27,27,27,27,27,27,27
140,59,59,59,59,59,123,59,59,59
98,98,98,98,98,98,134,134,98,134
100,100,100,100,100,100,100,100,100,100
149,149,149,149,149,149,149,149,149,0
122,122,122,122,122,122,122,122,122,122
143,8,8,143,143,95,8,83,95,143
137,0,137,0,0,0,0,0,0,0
122,122,122,122,122,122,122,122,122,122
43,43,43,43,43,43,43,43,43,43
98,98,98,98,98,98,80,98,98,57
0,0,90,0,0,0,0,0,0,0
2,2,2,72,72,2,72,2,72,72
137,91,137,91,91,91,91,91,91,39
0,0,0,0,0,0,134,134,0,134
44,44,44,44,44,44,44,44,138,0
0,0,0,0,0,0,0,0,0,0
122,122,122,122,122,122,122,122,122,122
8,8,8,8,8,8,8,83,83,8
0,0,0,0,0,0,0,0,0,0
53,111,111,111,117,46,46,46,46,117
99,99,0,99,48,48,0,48,48,99
0,0,0,0,4,0,0,0,4,0
0,0,0,84,84,12,12,12,12,12
52,52,52,52,52,52,52,52,52,52
72,72,72,72,72,72,72,72,72,72
100,100,100,100,100,100,100,100,100,100
0,0,0,0,0,0,0,0,0,0
122,122,122,122,122,122,122,122,122,122
82,82,82,82,82,82,0,0,0,0
19,19,19,19,19,19,19,19,19,19
106,106,106,106,4,106,106,106,4,106
148,148,148,148,148,148,148,148,148,148
53,0,46,46,0,46,46,46,46,0
95,32,87,32,32,32,87,87,95,95
0,0,0,0,0,0,0,0,0,0
23,23,23,23,23,23,0,23,23,23
148,19,19,19,19,19,19,19,19,19
0,0,0,0,0,0,0,0,0,0
0,59,59,59,59,97,0,97,59,59
152,40,40,40,40,13,152,152,152,152
69,69,0,0,33,33,0,0,0,0
106,106,106,106,106,106,106,106,12,106
134,119,119,119,119,134,134,134,134,134
134,111,119,119,119,134,134,134,134,134
24,24,24,24,24,24,24,24,24,24
95,123,123,95,95,95,95,123,95,95
8,8,8,8,8,8,8,42,42,42
2,2,2,2,2,2,2,2,2,2
98,98,98,98,98,98,98,98,98,98
98,98,98,98,98,98,0,0,98,0
64,6,6,64,6,6,6,6,6,6
2,2,2,72,72,2,72,2,72,72
21,21,21,21,21,21,91,91,21,21
21,21,21,21,21,21,137,137,21,21
88,88,88,88,88,88,88,88,88,88
44,44,44,44,44,39,39,39,39,39
149,149,149,0,0,0,0,0,0,0
48,42,48,48,48,48,48,48,48,48
44,44,44,44,44,44,44,44,44,0
31,31,31,31,31,31,6,31,0,0
101,101,101,101,101,101,101,88,101,88
148,148,148,148,148,148,148,148,117,117
148,148,148,27,27,27,27,27,27,27
0,0,0,27,27,27,27,27,27,27
122,122,122,122,122,122,122,122,122,122
52,32,32,32,32,32,32,32,32,0
111,111,111,111,111,111,111,111,111,111
0,42,40,40,42,42,42,42,42,42
20,20,20,20,20,20,20,20,20,20
